Название,Победитель,Год выпуска,Жанр,Страна выпуска,Рейтинг
Оливер!,True,1968,мюзикл,Великобритания,7.3
"Рэйчел, Рэйчел",False,1968,драма,США,6.5
Выпускник,False,1967,драма,США,7.9
Бонни и Клайд,False,1967,криминал,США,7.7
Полуночная жара,True,1967,драма,США,7.6
"Угадай, кто придет к обеду?",False,1967,драма,США,7.5
Доктор Дулиттл,False,1967,мюзикл,США,6.2
Кто боится Вирджинии Вульф?,False,1966,драма,США,7.8
Человек на все времена,True,1966,драма,Великобритания,7.4
Песчаная галька,False,1966,драма,США,7.3
Русские идут! Русские идут!,False,1966,комедия,США,7.1
Элфи,False,1966,драма,Великобритания,7.1
Звуки музыки,True,1965,мюзикл,США,8.1
Корабль дураков,False,1965,драма,США,7.7
Дорогая,False,1965,драма,Великобритания,7.4
Доктор Живаго,False,1965,мелодрама,Италия,7.1
Тысяча клоунов,False,1965,драма,США,6.4
Моя прекрасная леди,True,1964,мюзикл,США,8.0
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",False,1963,комедия,Великобритания,8.0
Грек Зорба,False,1964,драма,Греция,7.7
Бекет,False,1964,драма,Великобритания,7.6
Мэри Поппинс,False,1964,мюзикл,США,7.6
Клеопатра,False,1963,биография,США,7.8
"Америка, Америка",False,1963,драма,США,7.1
Полевые лилии,False,1963,драма,США,7.0
Война на Диком Западе,False,1962,вестерн,США,6.9
Том Джонс,True,1963,мелодрама,Великобритания,6.2
Убить пересмешника,False,1962,драма,США,8.0
Лоуренс Аравийский,True,1962,драма,Великобритания,8.0
Мятеж на Баунти,True,1962,драма,США,7.4
Самый длинный день,False,1962,военный,США,7.2
Музыкант,False,1962,мюзикл,США,5.9
Нюрнбергский процесс,False,1961,драма,США,8.2
Бильярдист,False,1961,драма,США,7.8
Вестсайдская история,True,1961,мюзикл,США,7.2
Пушки острова Наварон,False,1961,военный,Великобритания,7.1
Фанни,False,1961,драма,США,6.1
Квартира,True,1960,драма,США,8.0
Элмер Гантри,False,1960,драма,США,7.2
Аламо,False,1960,драма,США,6.6
Бродяги,False,1960,драма,Великобритания,6.3
Сыновья и любовники,False,1960,драма,Великобритания,5.8
Бен-Гур,True,1959,драма,США,8.1
История монахини,False,1959,драма,США,8.0
Анатомия убийства,False,1959,драма,США,7.6
Путь в высшее общество,False,1958,драма,Великобритания,7.6
Дневник Анны Франк,False,1959,драма,США,7.4
Кошка на раскаленной крыше,False,1958,драма,США,7.9
Скованные одной цепью,False,1958,драма,США,7.6
За отдельными столиками,False,1958,драма,США,6.9
Тетушка Мэйм,False,1958,драма,США,6.7
Жижи,True,1958,мюзикл,США,6.3
12 разгневанных мужчин,False,1956,драма,США,8.5
Свидетель обвинения,False,1957,драма,США,8.2
Мост через реку Квай,True,1957,драма,Великобритания,7.7
Сайонара,False,1957,драма,США,7.3
Пэйтон Плейс,False,1957,драма,США,7.0
Гигант,False,1956,драма,США,7.5
Десять заповедей,False,1956,драма,США,7.4
Вокруг Света за 80 дней,True,1956,приключения,США,7.1
Король и я,False,1956,мюзикл,США,6.9
Дружеское увещевание,False,1956,драма,США,6.9
Марти,True,1955,драма,США,7.2
Татуированная роза,False,1955,драма,США,7.0
Мистер Робертс,False,1955,драма,США,6.8
Пикник,False,1955,драма,США,6.5
Любовь — самая великолепная вещь на свете,False,1955,драма,США,6.4
В порту,True,1954,драма,США,7.7
Деревенская девушка,False,1954,драма,США,7.5
Восстание «Кейна»,False,1954,драма,США,7.2
Семь невест для семи братьев,False,1954,мюзикл,США,7.0
Три монеты в фонтане,False,1954,драма,США,6.2
Римские каникулы,False,1953,драма,США,8.3
Юлий Цезарь,False,1953,драма,США,7.5
Отныне и во веки веков,True,1953,драма,США,7.2
Плащаница,False,1953,драма,США,6.6
Шейн,False,1953,драма,США,6.5
Ровно в полдень,False,1952,триллер,США,7.4
Мулен Руж,False,1952,драма,Великобритания,7.3
Тихий человек,False,1952,драма,США,6.8
Айвенго,False,1952,драма,Великобритания,6.6
Величайшее шоу мира,True,1952,драма,США,6.0
Трамвай «Желание»,False,1951,драма,США,7.9
Камо грядеши?,False,1951,драма,США,7.4
